prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
512,512,12,24576,3,0.17804799999999998,0.029391420789067004,0.000863855616,0.156032,0.211424,16.507582658923113
114688,17724,2,16384,2,0.407088,0.0286689373364274,0.000821907968000001,0.386816,0.42736,7.042442255577407
256,256,24,24576,2,0.08220799999999995,0.02855580025143746,0.0008154337279999956,0.062016,0.1023999999999999,34.736035685944735
8192,8192,2,8192,2,0.304944,0.028442663166447713,0.0008089850880000015,0.284832,0.325056,9.327175860853316
28672,8085,6,24576,2,0.22344,0.02830689866445988,0.0008012805120000005,0.203424,0.243456,12.668680026759398
8192,13688,30,15360,3,0.367072,0.02803249314634715,0.0007858206719999999,0.33472,0.38416,7.636783284671771
6144,6144,3,24576,2,0.574352,0.027944859992492358,0.0007809151999999999,0.554592,0.594112,4.8654588105598835
0,0,8,16384,7,0.12256914285714285,0.02774892514091654,0.00077000284647619,0.082848,0.151264,22.639405376783245
1024,1024,4,16384,3,0.39419733333333334,0.02718102553866088,0.0007388081493333351,0.377664,0.425568,6.8952839690524526
2048,2048,2,8192,2,0.261328,0.027130272980565435,0.0007360517119999989,0.242144,0.280512,10.381693875200416
122880,28140,10,20480,2,0.203072,0.026926626227583732,0.0007250432000000002,0.184032,0.222112,13.259644960567723
0,0,6,6144,4,0.060520000000000004,0.02641694324986649,0.0006978548906666666,0.037376,0.084064,43.64993920392688
28672,28672,2,16384,2,0.452528,0.024007689434845648,0.0005763691519999994,0.435552,0.469504,5.305238444812345
8192,8192,6,12288,2,0.25299199999999994,0.022717926665961324,0.0005161041919999966,0.236928,0.2690559999999999,8.97970159411429
1024,1024,6,24576,5,0.3490176,0.022087725025452518,0.00048786759680000135,0.3253439999999999,0.372704,6.328541889900101
28672,6475,16,16384,2,0.1432,0.021360281646083237,0.00045626163200000036,0.128096,0.158304,14.91639778712768
28672,28672,6,24576,2,0.363472,0.020975615557117744,0.00043997644799999985,0.34864,0.378304,5.770902724651924
