decode_kv_len,decode_qo_len,prefill_kv_len,prefill_qo_len,decode_time_ms,prefill_time_ms,sm_time
0,0,2048,2048,0.0,0.210208,0.210208
16384,1,2048,2048,0.02752,0.209472,0.23699199999999998
32768,2,2048,2048,0.199968,0.1368,0.336768
16384,1,1024,1024,0.095456,0.095232,0.190688
32768,2,1024,1024,0.238144,0.024608,0.262752
0,0,2048,2048,0.0,0.18928,0.18928
16384,1,2048,2048,0.050592,0.185792,0.236384
32768,2,2048,2048,0.188096,0.170272,0.358368
26368,103,4096,4096,0.0168,0.16624,0.18304
24320,95,6144,6144,0.009184,0.197632,0.206816
24576,96,6144,6144,0.016,0.195648,0.211648
24832,97,6144,6144,0.019328,0.12288,0.142208
25344,99,6144,6144,0.019072,0.142464,0.161536
25856,101,6144,6144,0.017856,0.153184,0.17104
26112,102,6144,6144,0.019328,0.148192,0.16752
22528,88,8192,8192,0.018336,0.12816,0.146496
22784,89,8192,8192,0.020416,0.139104,0.15952
23040,90,8192,8192,0.015808,0.16624,0.182048
14848,58,4096,4096,0.010432,0.168768,0.1792
12800,50,6144,6144,0.008384,0.1936,0.201984
13056,51,6144,6144,0.010016,0.19776,0.207776
13312,52,6144,6144,0.019744,0.149376,0.16912000000000002
13568,53,6144,6144,0.017024,0.173824,0.19084800000000002
14592,57,6144,6144,0.011072,0.164,0.175072
11008,43,8192,8192,0.022048,0.146944,0.168992
11264,44,8192,8192,0.019328,0.156768,0.176096
11520,45,8192,8192,0.018784,0.165024,0.183808
11776,46,8192,8192,0.019424,0.185856,0.20528
26624,52,4096,4096,0.027808,0.180288,0.208096
24576,48,6144,6144,0.032832,0.12336,0.156192
25088,49,6144,6144,0.033248,0.130208,0.163456
26112,51,6144,6144,0.027936,0.152192,0.18012799999999998
22528,44,8192,8192,0.030944,0.223776,0.25472
23040,45,8192,8192,0.034592,0.171712,0.206304
23552,46,8192,8192,0.031424,0.102016,0.13344
24064,47,8192,8192,0.033184,0.189248,0.222432
24576,48,8192,8192,0.031328,0.094816,0.126144
25088,49,8192,8192,0.02112,0.178688,0.199808
16384,32,4096,4096,0.015008,0.174496,0.189504
14336,28,6144,6144,0.018304,0.19552,0.21382400000000001
14848,29,6144,6144,0.03024,0.090528,0.120768
15360,30,6144,6144,0.04176,0.14192,0.18367999999999998
16384,32,6144,6144,0.017376,0.160928,0.178304
12288,24,8192,8192,0.046368,0.143552,0.18992
12800,25,8192,8192,0.044768,0.161184,0.205952
13312,26,8192,8192,0.037472,0.210752,0.248224
13824,27,8192,8192,0.030784,0.077504,0.108288
14336,28,8192,8192,0.031488,0.080096,0.111584
26624,26,4096,4096,0.056832,0.194048,0.25088
24576,24,6144,6144,0.06832,0.133216,0.201536
25600,25,6144,6144,0.05328,0.11312,0.1664
26624,26,6144,6144,0.05856,0.151872,0.210432
22528,22,8192,8192,0.067616,0.198176,0.265792
23552,23,8192,8192,0.070624,0.12176,0.192384
24576,24,8192,8192,0.057728,0.06848,0.126208
25600,25,8192,8192,0.059712,0.074624,0.134336
26624,26,8192,8192,0.058496,0.149856,0.20835199999999998
24576,24,6144,6144,0.028384,0.246528,0.274912
8192,8,4096,4096,0.042464,0.176096,0.21856
6144,6,6144,6144,0.047872,0.152064,0.199936
7168,7,6144,6144,0.03936,0.18288,0.22224
4096,4,8192,8192,0.04592,0.161824,0.20774399999999998
5120,5,8192,8192,0.04752,0.128576,0.176096
6144,6,8192,8192,0.039392,0.156416,0.195808
6144,6,6144,6144,0.047904,0.17568,0.223584
7168,7,6144,6144,0.040544,0.182592,0.223136
4096,4,8192,8192,0.046304,0.157632,0.203936
5120,5,8192,8192,0.047712,0.127488,0.1752
